PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40627199,Predicting SARS-CoV-2-specific CD4(+) and CD8(+) T-cell responses elicited by inactivated vaccines in healthy adults using machine learning models.,2025 Jul 8,,,
40626929,Vaccine-related environments and patient preferences in Japanese patients with autoimmune rheumatic diseases.,2025 Jul 8,,,
40626925,A Case of IgG4-Related Disease Potentially Triggered by COVID-19 Vaccination: Longitudinal Serum IgG4 Monitoring from Prevaccination.,2025 Jul 8,,,
40626318,Leveraged Vaccination to Alleviate Original Antigenic Sin for Enhancing Broad-Neutralizing Antibody Response against SARS-CoV-2 Omicron Subvariants.,2025 Jul,,,
40625827,"Epidemiology of human respiratory tract infection in Chongqing, China after COVID-19-based on surveillance data encompassing 17 respiratory pathogens.",2025,,,
40625789,Enhancing the response to avian influenza in the US and globally.,2025 Jun,,,
40625421,The dual threat: exploring the emergence of human metapneumovirus and SARS-CoV-2 coinfections in respiratory infections.,2025 Aug,,,
40625176,"A second-generation, self-amplifying COVID-19 Vaccine: World's first approval and distribution in the Japanese market with vaccine hesitancy.",2025 Dec,,,
40624510,Dynamics of contact behaviour by self-reported COVID-19 vaccination and infection status during the COVID-19 pandemic in Germany: an analysis of two large population-based studies.,2025 Jul 7,,,
40624462,"Safety comparison of mRNA, viral vector, and inactivated Covid-19 vaccines: incidence of adverse events following primary and booster doses among medical professionals in Malaysia.",2025 Jul 7,,,
40624117,"Dynamic interactions of COVID-19 incidences, mobility, and social distancing policies in seoul: A VAR model approach.",2025 Jul 7,,,
40624061,Intranasal booster induces durable mucosal immunity against SARS-CoV-2 in mice.,2025 Jul 7,,,
40623876,Impact of vaccine mandates and removals on COVID-19 vaccine uptake in Australia and international comparators: a study protocol.,2025 Jul 7,,,
40623651,An Analysis of Studies Comparing Myocarditis and Pericarditis in COVID-19 Vaccinated and SARS-CoV-2 Infected Individuals.,2025 Jul 5,,,
40623118,Estimating behavioural relaxation induced by COVID-19 vaccines in the first months of their rollout.,2025 Jul 7,,,
40623115,Passive immunotherapy for adults hospitalized with COVID-19: An individual participant data meta-analysis of six randomized controlled trials.,2025 Jul 7,,,
40623023,Determinants of COVID-19 vaccine uptake among persons with disabilities in three selected districts of Zambia.,2025,,,
40622951,Preparing for future pandemics: A qualitative exploration of social media in light of the COVID-19 pandemic and vaccine hesitancy.,2025,,,
40622918,Assessing COVID-19 seroprevalence and vaccine uptake among women of reproductive-age in Zanzibar's archipelago.,2025,,,
40622852,Arsenic trioxide could promote SARS-CoV-2 NSP12 protein degradation.,2025 Jul,,,
